gx     gy    gz     ax    ay    az
64868  159  64573  54322  5869  65038
64870  181  64575  56473  7515  1845
64874  171  64582  58056  8551  4514
64879  185  64575  58615  9552  1347
64865  186  64577  56397  16192  61316
64897  176  64584  51460  27214  57199
64853  183  64576  58486  29648  60555
64779  163  64536  2523  32417  56223
64810  204  64578  1611  32760  58166
64884  170  64567  63663  30356  63081
64881  168  64581  65173  25715  225
64885  150  64583  5632  19250  1397
64867  174  64564  10620  16406  591
64885  190  64575  14606  14162  62476
64866  173  64571  15587  11552  60564
64857  163  64580  15871  8857  63372
64873  168  64578  14607  8797  98
64872  180  64583  12450  9414  63175
64868  166  64584  10361  9981  59800
64878  175  64574  9027  13699  57924
64868  168  64585  8269  23202  58615
64884  174  64581  3966  32760  58630
64883  179  64584  62757  32760  60789
64881  160  64589  60573  32760  60502
64866  164  64584  59572  32760  56425
64867  169  64591  58675  32760  58054
64885  172  64570  58880  31231  62702
64865  151  64592  55854  24969  859
64870  158  64587  54783  17056  64166
64862  175  64581  54362  8365  63883
64871  133  64586  54830  3652  65414
64873  168  64583  55211  63371  3825
64883  156  64590  53358  61246  5737
64873  168  64587  50199  63503  4272
64863  165  64578  47943  1543  2314
64851  167  64586  51017  7126  459
64882  186  64584  53604  7113  64831
64876  169  64581  56454  8296  63763
64883  172  64585  54622  15030  65250
64874  161  64588  51380  26439  61247
64867  167  64580  56523  29786  58988
64891  149  64580  292  32760  57125
64867  169  64558  7074  32760  60475
64882  170  64571  5163  32760  62687
64878  179  64572  3476  26709  65002
64884  159  64586  5751  19056  1219
64862  178  64578  8304  15013  710
64891  177  64574  10705  13053  64761
64885  177  64585  13578  11225  64868
64888  161  64580  15537  10378  1283
64875  170  64573  14700  9768  2305
64873  164  64582  11051  9154  49
64885  170  64590  9598  10636  61225
64876  168  64571  11098  15053  58350
64884  165  64585  13418  20613  58546
64881  170  64596  10091  28228  57448
64886  175  64581  3815  32760  56950
64865  171  64578  332  32760  57584
64880  164  64578  269  32760  55552
64892  164  64588  63688  32760  56031
64865  175  64578  58256  30564  59638
64886  167  64596  55686  20871  60745
64874  170  64592  53400  11720  62099
64879  178  64581  51127  6418  343
64885  169  64579  50130  3256  4287
64867  177  64572  50236  64279  6734
64756  201  64500  53357  62124  82
64862  176  64568  46639  61718  3545
64851  173  64597  45247  2177  2503
64873  151  64601  48200  8792  65352
64872  164  64586  52936  10787  62816
64859  170  64583  55588  8657  61516
64880  178  64580  54900  11568  61644
64886  189  64588  49790  25171  58281
64870  166  64585  53299  30373  57445
64855  159  64582  344  32760  56424
64820  152  64564  8001  32760  58380
64795  188  64553  6071  32760  63258
64883  157  64576  5470  32760  62934
64880  175  64591  10540  26704  62856
64866  170  64579  13959  20622  63265
64874  171  64580  14824  16381  61710
